Seq_Heu_FS,Par_Heu_FS,Par_FS,Seq_FS
706.460144,86.201729,210.457429,48312.109321
729.019226,86.018890,200.074123,48129.952364
697.620667,86.266159,199.510708,47266.582368
547.981079,86.716782,199.930694,47893.599325
546.917542,86.373001,194.591087,48265.856942
534.195862,85.983971,195.271689,46448.852369
538.029602,85.715637,197.871098,46856.329258
537.755859,86.475433,193.679019,45562.456987
536.583984,86.434174,194.280198,45652.765238
536.788269,86.827698,193.719873,45189.982364
